Data;Abertura;Máxima;Mínima;Fechamento
01/03/2021;22.8;24.13;20.48;23.53
01/02/2021;27.26;30.92;21.4;22.24
04/01/2021;28.65;31.76;26.53;26.69
01/12/2020;25.4;28.52;25.29;28.34
03/11/2020;19.51;26.67;19.27;24.9
01/10/2020;19.64;21.14;17.74;18.94
01/09/2020;22.2;23.12;19.25;19.61
03/08/2020;22.54;23.88;21.25;21.89
01/07/2020;21.75;23.6;21.52;22.2
01/06/2020;20.15;23.03;19.54;21.55
04/05/2020;17.43;20.34;16.72;20.34
01/04/2020;13.45;18.69;13.32;18.05
02/03/2020;25.5;27.48;10.85;13.99
03/02/2020;28.52;30.89;24.62;25.34
02/01/2020;30.51;31.24;27.67;28.45
02/12/2019;29.06;30.92;28.4;30.18
01/11/2019;30.07;30.7;27.62;28.81
01/10/2019;27.13;29.94;25.51;29.87
02/09/2019;24.96;27.76;24.6;27.08
01/08/2019;25.68;26.26;23.28;25.06
01/07/2019;27.18;28.06;25.35;25.46
03/06/2019;25.27;27.72;24.96;26.76
02/05/2019;26.08;26.74;23.82;24.94
01/04/2019;27.62;28.76;24.85;26.39
01/03/2019;26.4;28.79;25.5;27.29
01/02/2019;24.8;26.99;23.87;26.32
02/01/2019;21.93;25.25;21.67;24.88
03/12/2018;24.87;25.09;19.86;22.05
01/11/2018;26.16;26.67;22.54;24.08
01/10/2018;20.03;27.09;19.6;26.03
03/09/2018;17.9;20.68;17.18;19.88
01/08/2018;18.43;20.27;16.64;18.15
02/07/2018;15.98;18.9;15.9;18.55
01/06/2018;18.4;18.58;13.33;16.17
02/05/2018;21.29;25.91;15.91;17.85
02/04/2018;20.06;21.61;18.88;21.57
01/03/2018;20.09;21.25;19.26;20.1
01/02/2018;18.55;20.52;17.38;20.15
02/01/2018;15.2;18.83;15.2;18.5
01/12/2017;14.4;15.15;14.04;15.12
01/11/2017;15.95;16.38;14.07;14.44
02/10/2017;14.26;16.12;14.14;15.75
01/09/2017;13;14.99;12.98;14.37
01/08/2017;12.49;13.17;12.12;12.82
03/07/2017;11.53;12.53;11.02;12.48
01/06/2017;12.36;12.53;10.88;11.61
02/05/2017;13.2;14.9;11.69;12.17
03/04/2017;13.65;14.23;12.72;13.12
01/03/2017;14.56;14.6;12.04;13.61
01/02/2017;14.33;15.24;13.4;14.25
02/01/2017;13.75;15.43;13.71;14.1
01/12/2016;15.02;15.35;13.15;13.96
