year,month,Tipo_combustivel,valor_combustivel,Preço_Barrill_petroleo,Pontuação_IBOV,Preço ação,Date
2015,1,DIESEL,2.60975346949486,52.99,"46.907,68",7.68,2015/1
2015,1,DIESEL S10,2.76102173207921,52.99,"46.907,68",7.68,2015/1
2015,1,ETANOL,2.24191231631879,52.99,"46.907,68",7.68,2015/1
2015,1,GASOLINA,3.06125196141105,52.99,"46.907,68",7.68,2015/1
2015,1,GNV,1.92130109575986,52.99,"46.907,68",7.68,2015/1
2015,10,DIESEL,2.93872292366504,49.56,"45.868,81",7.24,2015/10
2015,10,DIESEL S10,3.07959628641313,49.56,"45.868,81",7.24,2015/10
2015,10,ETANOL,2.51286512303222,49.56,"45.868,81",7.24,2015/10
2015,10,GASOLINA,3.5167903135105,49.56,"45.868,81",7.24,2015/10
2015,10,GNV,2.18909486166007,49.56,"45.868,81",7.24,2015/10
2015,11,DIESEL,2.97722219244172,44.61,"45.120,36",7.2,2015/11
2015,11,DIESEL S10,3.11218347424392,44.61,"45.120,36",7.2,2015/11
2015,11,ETANOL,2.71142196107248,44.61,"45.120,36",7.2,2015/11
2015,11,GASOLINA,3.61313265706449,44.61,"45.120,36",7.2,2015/11
2015,11,GNV,2.21603820033955,44.61,"45.120,36",7.2,2015/11
2015,12,DIESEL,2.99205729530589,37.28,"43.349,96",6.29,2015/12
2015,12,DIESEL S10,3.12728479616934,37.28,"43.349,96",6.29,2015/12
2015,12,ETANOL,2.8092122807802,37.28,"43.349,96",6.29,2015/12
2015,12,GASOLINA,3.66890398661606,37.28,"43.349,96",6.29,2015/12
2015,12,GNV,2.24105698778832,37.28,"43.349,96",6.29,2015/12
2015,2,DIESEL,2.78226265850849,62.58,"51.583,09",8.99,2015/2
2015,2,DIESEL S10,2.93055370803227,62.58,"51.583,09",8.99,2015/2
2015,2,ETANOL,2.38308953526162,62.58,"51.583,09",8.99,2015/2
2015,2,GASOLINA,3.31970734784875,62.58,"51.583,09",8.99,2015/2
2015,2,GNV,1.94310435992577,62.58,"51.583,09",8.99,2015/2
2015,3,DIESEL,2.80600096812915,55.11,"51.150,16",9.14,2015/3
2015,3,DIESEL S10,2.95246793713867,55.11,"51.150,16",9.14,2015/3
2015,3,ETANOL,2.38853664781504,55.11,"51.150,16",9.14,2015/3
2015,3,GASOLINA,3.34640595807813,55.11,"51.150,16",9.14,2015/3
2015,3,GNV,1.95323493975901,55.11,"51.150,16",9.14,2015/3
2015,4,DIESEL,2.80633245804781,66.78,"56.229,38",12.25,2015/4
2015,4,DIESEL S10,2.95322050335886,66.78,"56.229,38",12.25,2015/4
2015,4,ETANOL,2.36903441846691,66.78,"56.229,38",12.25,2015/4
2015,4,GASOLINA,3.33830717218035,66.78,"56.229,38",12.25,2015/4
2015,4,GNV,1.98637406920716,66.78,"56.229,38",12.25,2015/4
2015,5,DIESEL,2.80488771043012,65.56,"52.760,47",11.58,2015/5
2015,5,DIESEL S10,2.9526567950488,65.56,"52.760,47",11.58,2015/5
2015,5,ETANOL,2.33855884829648,65.56,"52.760,47",11.58,2015/5
2015,5,GASOLINA,3.33010666942193,65.56,"52.760,47",11.58,2015/5
2015,5,GNV,1.99499567515615,65.56,"52.760,47",11.58,2015/5
2015,6,DIESEL,2.80499275920496,63.59,"53.080,88",11.93,2015/6
2015,6,DIESEL S10,2.95105800625218,63.59,"53.080,88",11.93,2015/6
2015,6,ETANOL,2.31406423086514,63.59,"53.080,88",11.93,2015/6
2015,6,GASOLINA,3.33066433141932,63.59,"53.080,88",11.93,2015/6
2015,6,GNV,2.01849213769653,63.59,"53.080,88",11.93,2015/6
2015,7,DIESEL,2.80456661842326,52.21,"50.864,77",9.86,2015/7
2015,7,DIESEL S10,2.95058997722095,52.21,"50.864,77",9.86,2015/7
2015,7,ETANOL,2.30554891434748,52.21,"50.864,77",9.86,2015/7
2015,7,GASOLINA,3.3279618791649,52.21,"50.864,77",9.86,2015/7
2015,7,GNV,2.03870960884351,52.21,"50.864,77",9.86,2015/7
2015,8,DIESEL,2.80581561146158,54.15,"46.625,52",8.63,2015/8
2015,8,DIESEL S10,2.95164196642685,54.15,"46.625,52",8.63,2015/8
2015,8,ETANOL,2.2792738007768,54.15,"46.625,52",8.63,2015/8
2015,8,GASOLINA,3.32123113344296,54.15,"46.625,52",8.63,2015/8
2015,8,GNV,2.0889922600619,54.15,"46.625,52",8.63,2015/8
2015,9,DIESEL,2.82003158559698,48.37,"45.059,34",6.8,2015/9
2015,9,DIESEL S10,2.9661938886868,48.37,"45.059,34",6.8,2015/9
2015,9,ETANOL,2.27539374749498,48.37,"45.059,34",6.8,2015/9
2015,9,GASOLINA,3.31169721706878,48.37,"45.059,34",6.8,2015/9
2015,9,GNV,2.15940832507432,48.37,"45.059,34",6.8,2015/9
2016,1,DIESEL,3.00636274313214,34.74,"40.405,99",4.54,2016/1
2016,1,DIESEL S10,3.14131202046056,34.74,"40.405,99",4.54,2016/1
2016,1,ETANOL,2.87565406390954,34.74,"40.405,99",4.54,2016/1
2016,1,GASOLINA,3.71687632353582,34.74,"40.405,99",4.54,2016/1
2016,1,GNV,2.24754833597464,34.74,"40.405,99",4.54,2016/1
2016,10,DIESEL,3.01341473574592,48.30,"64.924,51",16.61,2016/10
2016,10,DIESEL S10,3.14437549229233,48.30,"64.924,51",16.61,2016/10
2016,10,ETANOL,2.86158186769055,48.30,"64.924,51",16.61,2016/10
2016,10,GASOLINA,3.70912827845407,48.30,"64.924,51",16.61,2016/10
2016,10,GNV,2.24490061162079,48.30,"64.924,51",16.61,2016/10
2016,11,DIESEL,3.00197991773535,50.47,"61.906,35",15.02,2016/11
2016,11,DIESEL S10,3.13367886308218,50.47,"61.906,35",15.02,2016/11
2016,11,ETANOL,2.98396013162889,50.47,"61.906,35",15.02,2016/11
2016,11,GASOLINA,3.72264181964499,50.47,"61.906,35",15.02,2016/11
2016,11,GNV,2.24976708302717,50.47,"61.906,35",15.02,2016/11
2016,12,DIESEL,3.03633672907496,56.82,"60.227,28",13.96,2016/12
2016,12,DIESEL S10,3.16579528814377,56.82,"60.227,28",13.96,2016/12
2016,12,ETANOL,3.0088951353943,56.82,"60.227,28",13.96,2016/12
2016,12,GASOLINA,3.77552504198771,56.82,"60.227,28",13.96,2016/12
2016,12,GNV,2.2547240484429,56.82,"60.227,28",13.96,2016/12
2016,2,DIESEL,3.01722591117918,35.97,"42.793,86",4.83,2016/2
2016,2,DIESEL S10,3.15006622032891,35.97,"42.793,86",4.83,2016/2
2016,2,ETANOL,2.96297311472524,35.97,"42.793,86",4.83,2016/2
2016,2,GASOLINA,3.74370205202769,35.97,"42.793,86",4.83,2016/2
2016,2,GNV,2.25875531914893,35.97,"42.793,86",4.83,2016/2
2016,3,DIESEL,3.02497891863648,39.60,"50.055,27",7.84,2016/3
2016,3,DIESEL S10,3.15864483799349,39.60,"50.055,27",7.84,2016/3
2016,3,ETANOL,3.05077585417621,39.60,"50.055,27",7.84,2016/3
2016,3,GASOLINA,3.77255935537561,39.60,"50.055,27",7.84,2016/3
2016,3,GNV,2.27708755129958,39.60,"50.055,27",7.84,2016/3
2016,4,DIESEL,3.02803496973777,48.13,"53.910,50",9.61,2016/4
2016,4,DIESEL S10,3.16022622865015,48.13,"53.910,50",9.61,2016/4
2016,4,ETANOL,2.97534013148438,48.13,"53.910,50",9.61,2016/4
2016,4,GASOLINA,3.76124763663541,48.13,"53.910,50",9.61,2016/4
2016,4,GNV,2.27094913863823,48.13,"53.910,50",9.61,2016/4
2016,5,DIESEL,3.02265976348437,49.69,"48.471,70",7.55,2016/5
2016,5,DIESEL S10,3.15697195846543,49.69,"48.471,70",7.55,2016/5
2016,5,ETANOL,2.76079729226188,49.69,"48.471,70",7.55,2016/5
2016,5,GASOLINA,3.72586746485804,49.69,"48.471,70",7.55,2016/5
2016,5,GNV,2.26165665236051,49.69,"48.471,70",7.55,2016/5
2016,6,DIESEL,3.01945160679342,49.68,"51.526,92",8.84,2016/6
2016,6,DIESEL S10,3.15270341605863,49.68,"51.526,92",8.84,2016/6
2016,6,ETANOL,2.71500810751274,49.68,"51.526,92",8.84,2016/6
2016,6,GASOLINA,3.69760765627515,49.68,"51.526,92",8.84,2016/6
2016,6,GNV,2.25322222222222,49.68,"51.526,92",8.84,2016/6
2016,7,DIESEL,3.01776996629293,42.46,"57.308,20",11.15,2016/7
2016,7,DIESEL S10,3.15204891543562,42.46,"57.308,20",11.15,2016/7
2016,7,ETANOL,2.70135325589254,42.46,"57.308,20",11.15,2016/7
2016,7,GASOLINA,3.69431415851181,42.46,"57.308,20",11.15,2016/7
2016,7,GNV,2.24893862520458,42.46,"57.308,20",11.15,2016/7
2016,8,DIESEL,3.01783388892036,47.04,"57.901,10",12.07,2016/8
2016,8,DIESEL S10,3.14941136329197,47.04,"57.901,10",12.07,2016/8
2016,8,ETANOL,2.72082533589255,47.04,"57.901,10",12.07,2016/8
2016,8,GASOLINA,3.69651458438098,47.04,"57.901,10",12.07,2016/8
2016,8,GNV,2.24862671232876,47.04,"57.901,10",12.07,2016/8
2016,9,DIESEL,3.0169608851594,49.06,"58.367,04",12.74,2016/9
2016,9,DIESEL S10,3.1496617228648,49.06,"58.367,04",12.74,2016/9
2016,9,ETANOL,2.74213142776419,49.06,"58.367,04",12.74,2016/9
2016,9,GASOLINA,3.69043917143962,49.06,"58.367,04",12.74,2016/9
2016,9,GNV,2.24990098199672,49.06,"58.367,04",12.74,2016/9
2017,1,DIESEL,3.10600350728686,55.70,"64.670,78",14.1,2017/1
2017,1,DIESEL S10,3.23093755810362,55.70,"64.670,78",14.1,2017/1
2017,1,ETANOL,3.07648557955451,55.70,"64.670,78",14.1,2017/1
