year,month,Price,Month_year
2020,12,51.80,2020-12-01
2020,11,47.59,2020-11-01
2020,10,37.46,2020-10-01
2020,9,40.95,2020-09-01
2020,8,45.28,2020-08-01
2020,7,43.30,2020-07-01
2020,6,41.15,2020-06-01
2020,5,35.33,2020-05-01
2020,4,25.27,2020-04-01
2020,3,22.74,2020-03-01
2020,2,50.52,2020-02-01
2020,1,58.16,2020-01-01
2019,12,66.00,2019-12-01
2019,11,62.43,2019-11-01
2019,10,60.23,2019-10-01
2019,9,60.78,2019-09-01
2019,8,60.43,2019-08-01
2019,7,65.17,2019-07-01
2019,6,66.55,2019-06-01
2019,5,64.49,2019-05-01
2019,4,72.80,2019-04-01
2019,3,68.39,2019-03-01
2019,2,66.03,2019-02-01
2019,1,61.89,2019-01-01
2018,12,53.80,2018-12-01
2018,11,58.71,2018-11-01
2018,10,75.47,2018-10-01
2018,9,82.72,2018-09-01
2018,8,77.42,2018-08-01
2018,7,74.25,2018-07-01
2018,6,79.44,2018-06-01
2018,5,77.59,2018-05-01
2018,4,75.17,2018-04-01
2018,3,70.27,2018-03-01
2018,2,65.78,2018-02-01
2018,1,69.05,2018-01-01
2017,12,66.87,2017-12-01
2017,11,63.57,2017-11-01
2017,10,61.37,2017-10-01
2017,9,57.54,2017-09-01
2017,8,52.38,2017-08-01
2017,7,52.65,2017-07-01
2017,6,47.92,2017-06-01
2017,5,50.31,2017-05-01
2017,4,51.73,2017-04-01
2017,3,52.83,2017-03-01
2017,2,55.59,2017-02-01
2017,1,55.70,2017-01-01
2016,12,56.82,2016-12-01
2016,11,50.47,2016-11-01
2016,10,48.30,2016-10-01
2016,9,49.06,2016-09-01
2016,8,47.04,2016-08-01
2016,7,42.46,2016-07-01
2016,6,49.68,2016-06-01
2016,5,49.69,2016-05-01
2016,4,48.13,2016-04-01
2016,3,39.60,2016-03-01
2016,2,35.97,2016-02-01
2016,1,34.74,2016-01-01
2015,12,37.28,2015-12-01
2015,11,44.61,2015-11-01
2015,10,49.56,2015-10-01
2015,9,48.37,2015-09-01
2015,8,54.15,2015-08-01
2015,7,52.21,2015-07-01
2015,6,63.59,2015-06-01
2015,5,65.56,2015-05-01
2015,4,66.78,2015-04-01
2015,3,55.11,2015-03-01
2015,2,62.58,2015-02-01
2015,1,52.99,2015-01-01
